email,full_name,contact,degree,degree_score,type,job_post,aptitude_score,technical_score,personality_score,average_score,category,hr_id,date_of_interview
patrickbabcock@gmail.com,Patrick Babcock,8127516985,be_btech,83,Fresher,Associate Engineer,78,95,45,73,1,hr1,2000-12-31
michealdougan@gmail.com,Micheal Dougan,8407416622,be_btech,68,Fresher,Associate Engineer,25,62,65,51,0,hr1,2000-12-31
williamwright@gmail.com,William Wright,8424060416,be_btech,66,Fresher,Associate Engineer,54,53,41,50,0,hr1,2000-12-31
lornadawson@gmail.com,Lorna Dawson,8447090989,be_btech,84,Fresher,Associate Engineer,92,84,68,82,1,hr1,2000-12-31
johnorrick@gmail.com,John Orrick,8611751004,be_btech,71,Fresher,Associate Engineer,59,33,80,57,0,hr1,2000-12-31
anaharris@gmail.com,Ana Harris,8431684770,be_btech,80,Fresher,Associate Engineer,80,40,89,70,1,hr1,2000-12-31
aaronstewart@gmail.com,Aaron Stewart,7974302885,be_btech,85,Fresher,Associate Engineer,65,74,50,63,0,hr1,2000-12-31
mariebarton@gmail.com,Marie Barton,8279158833,be_btech,76,Fresher,Associate Engineer,74,40,55,57,0,hr1,2000-12-31
ruthrussell@gmail.com,Ruth Russell,8602415096,be_btech,62,Fresher,Associate Engineer,33,72,64,57,0,hr1,2000-12-31
williamtom@gmail.com,William Tom,8393709838,be_btech,96,Fresher,Associate Engineer,75,67,72,72,1,hr1,2000-12-31
noreennorton@gmail.com,Noreen Norton,8208361701,be_btech,89,Fresher,Associate Engineer,78,66,45,63,0,hr1,2000-12-31
oscarwellman@gmail.com,Oscar Wellman,8416301233,be_btech,99,Fresher,Associate Engineer,100,41,94,79,0,hr1,2000-12-31
richardpua@gmail.com,Richard Pua,8600260763,be_btech,77,Fresher,Associate Engineer,89,33,49,57,0,hr1,2000-12-31
mikesutton@gmail.com,Mike Sutton,8630570492,be_btech,78,Fresher,Associate Engineer,21,33,80,45,0,hr1,2000-12-31
carlosher@gmail.com,Carlos Her,8560076007,be_btech,67,Fresher,Associate Engineer,39,76,37,51,0,hr1,2000-12-31
elvachace@gmail.com,Elva Chace,8044280362,be_btech,62,Fresher,Associate Engineer,46,75,43,55,0,hr1,2000-12-31
kevinbolling@gmail.com,Kevin Bolling,8058240643,be_btech,94,Fresher,Associate Engineer,34,58,67,53,0,hr1,2000-12-31
